claim_id,employee_id,supplier_id,total_amount,currency,status,submitted_at,created_at,updated_at,_sdc_extracted_at,_sdc_deleted_at
CLM-001,EMP-101,SUP-501,142.50,GBP,draft,,2024-01-08 09:12:00,2024-01-08 09:12:00,2024-01-08 09:12:03,
CLM-002,EMP-102,SUP-502,88.00,GBP,draft,,2024-01-09 10:05:00,2024-01-09 10:05:00,2024-01-09 10:05:02,
CLM-001,EMP-101,SUP-501,142.50,GBP,submitted,2024-01-08 09:45:00,2024-01-08 09:12:00,2024-01-08 09:45:11,2024-01-08 09:45:14,
CLM-003,EMP-103,SUP-501,310.00,GBP,draft,,2024-01-10 08:30:00,2024-01-10 08:30:00,2024-01-10 08:30:05,
CLM-002,EMP-102,SUP-502,88.00,GBP,submitted,2024-01-09 11:00:00,2024-01-09 10:05:00,2024-01-09 11:00:44,2024-01-09 11:00:47,
CLM-001,EMP-101,SUP-501,142.50,GBP,approved,2024-01-08 09:45:00,2024-01-08 09:12:00,2024-01-10 14:22:08,2024-01-10 14:22:11,
CLM-004,EMP-104,SUP-503,55.00,GBP,draft,,2024-01-11 07:55:00,2024-01-11 07:55:00,2024-01-11 07:55:01,
CLM-002,EMP-102,SUP-502,88.00,GBP,approved,2024-01-09 11:00:00,2024-01-09 10:05:00,2024-01-11 09:10:30,2024-01-11 09:10:33,
CLM-003,EMP-103,SUP-501,310.00,GBP,submitted,2024-01-11 10:15:00,2024-01-10 08:30:00,2024-01-11 10:15:00,2024-01-11 10:15:03,
CLM-001,EMP-101,SUP-501,189.00,GBP,approved,2024-01-08 09:45:00,2024-01-08 09:12:00,2024-01-11 16:05:52,2024-01-11 16:05:55,
CLM-003,EMP-103,SUP-501,310.00,GBP,rejected,2024-01-11 10:15:00,2024-01-10 08:30:00,2024-01-12 09:00:00,2024-01-12 09:00:03,
CLM-004,EMP-104,SUP-503,55.00,GBP,submitted,2024-01-12 10:30:00,2024-01-11 07:55:00,2024-01-12 10:30:00,2024-01-12 10:30:03,
CLM-002,EMP-102,SUP-502,88.00,GBP,paid,2024-01-09 11:00:00,2024-01-09 10:05:00,2024-01-13 12:00:00,2024-01-13 12:00:03,
CLM-003,EMP-103,SUP-501,310.00,GBP,submitted,2024-01-11 10:15:00,2024-01-10 08:30:00,2024-01-13 14:45:00,2024-01-13 14:45:03,
CLM-001,EMP-101,SUP-501,189.00,GBP,paid,2024-01-08 09:45:00,2024-01-08 09:12:00,2024-01-14 09:30:00,2024-01-14 09:30:03,
CLM-004,EMP-104,SUP-503,55.00,GBP,approved,2024-01-12 10:30:00,2024-01-11 07:55:00,2024-01-14 11:00:00,2024-01-14 11:00:03,
CLM-005,EMP-102,SUP-504,200.00,GBP,draft,,2024-01-15 08:00:00,2024-01-15 08:00:00,2024-01-15 08:00:04,
CLM-003,EMP-103,SUP-501,310.00,GBP,approved,2024-01-11 10:15:00,2024-01-10 08:30:00,2024-01-15 10:00:00,2024-01-15 10:00:03,
CLM-005,EMP-102,SUP-504,200.00,GBP,draft,,2024-01-15 08:00:00,2024-01-15 08:45:00,2024-01-15 08:45:02,2024-01-15 08:45:02
CLM-004,EMP-104,SUP-503,55.00,GBP,paid,2024-01-12 10:30:00,2024-01-11 07:55:00,2024-01-16 09:00:00,2024-01-16 09:00:03,
